gene_id	name	ko_flux	dependency_score	essential
b1740	nadE	0.0	1.0	essential
b0475	hemH	0.0	1.0	essential
b1136	icd	0.0	1.0	essential
b3430	glgC	0.0	1.0	essential
b0595	entB	0.0	1.0	essential
b3626	waaR	0.0	1.0	essential
b3729	glmS	0.0	1.0	essential
b3631	waaG	0.0	1.0	essential
b3429	glgA	0.0	1.0	essential
b2025	hisF	0.0	1.0	essential
b2023	hisH	0.0	1.0	essential
b1262	trpC	0.0	1.0	essential
b3770	ilvE	0.0	1.0	essential
b3628	waaB	0.0	1.0	essential
b2764	cysJ	0.0	1.0	essential
b2763	cysI	0.0	1.0	essential
b0639	nadD	0.0	1.0	essential
b1236	galU	0.0	1.0	essential
b3627	waaO	0.0	1.0	essential
b3966	btuB	0.0	1.0	essential
b1252	tonB	0.0	1.0	essential
b0908	aroA	0.0	1.0	essential
b3006	exbB	0.0	1.0	essential
b3005	exbD	0.0	1.0	essential
b0096	lpxC	0.0	1.0	essential
b0086	murF	0.0	1.0	essential
b2024	hisA	0.0	1.0	essential
b2557	purL	0.0	1.0	essential
b2476	purC	0.0	1.0	essential
b3040	zupT	0.0	1.0	essential
b2026	hisI	0.0	1.0	essential
b2750	cysC	0.0	1.0	essential
b1131	purB	0.0	1.0	essential
b0181	lpxA	0.0	1.0	essential
b4005	purD	0.0	1.0	essential
b1208	ispE	0.0	1.0	essential
b4177	purA	0.0	1.0	essential
s0001		0.0	1.0	essential
b0174	ispU	0.0	1.0	essential
b3850	hemG	0.0	1.0	essential
b3972	murB	0.0	1.0	essential
b0091	murC	0.0	1.0	essential
b2599	pheA	0.0	1.0	essential
b2600	tyrA	0.0	1.0	essential
b2329	aroC	0.0	1.0	essential
b4039	ubiC	0.0	1.0	essential
b0088	murD	0.0	1.0	essential
b0090	murG	0.0	1.0	essential
b3189	murA	0.0	1.0	essential
b2499	purM	0.0	1.0	essential
b0750	nadA	0.0	1.0	essential
b2687	luxS	0.0	1.0	essential
b1662	ribC	0.0	1.0	essential
b0415	ribE	0.0	1.0	essential
b3629	waaS	0.0	1.0	essential
b3360	pabA	0.0	1.0	essential
b0180	fabZ	0.0	1.0	essential
b1812	pabB	0.0	1.0	essential
b0222	gmhA	0.0	1.0	essential
b1096	pabC	0.0	1.0	essential
b1093	fabG	0.0	1.0	essential
b2323	fabB	0.0	1.0	essential
b0120	speD	0.0	1.0	essential
b0827	moeA	0.0	1.0	essential
b2019	hisG	0.0	1.0	essential
b4160	psd	0.0	1.0	essential
b4214	cysQ	0.0	1.0	essential
b0775	bioB	0.0	1.0	essential
b0004	thrC	0.0	1.0	essential
b0524	lpxH	0.0	1.0	essential
b0159	mtn	0.0	1.0	essential
b3634	coaD	0.0	1.0	essential
b3997	hemE	0.0	1.0	essential
b3196	yrbG	0.0	1.0	essential
b1094	acpP	0.0	1.0	essential
b1270	btuR	0.0	1.0	essential
b3804	hemD	0.0	1.0	essential
b0158	btuF	0.0	1.0	essential
b2585	pssA	0.0	1.0	essential
b1709	btuD	0.0	1.0	essential
b1711	btuC	0.0	1.0	essential
b3857	mobA	0.0	1.0	essential
b0522	purK	0.0	1.0	essential
b0369	hemB	0.0	1.0	essential
b3639	dfp	0.0	1.0	essential
b0179	lpxD	0.0	1.0	essential
b4006	purH	0.0	1.0	essential
b3018	plsC	0.0	1.0	essential
b0523	purE	0.0	1.0	essential
b0085	murE	0.0	1.0	essential
b3958	argC	0.0	1.0	essential
b3359	argD	0.0	1.0	essential
b3619	hldD	0.0	1.0	essential
b0777	bioC	1.7415161808430243e-10	0.9999999998234678	essential
b3732	atpD	0.40262905152493356	0.5918670499221673	partial
b3731	atpC	0.40262905152493605	0.5918670499221649	partial
b3736	atpF	0.40262905152493783	0.5918670499221631	partial
b3735	atpH	0.40262905152493983	0.5918670499221611	partial
b3734	atpA	0.40262905152494083	0.59186704992216	partial
b3733	atpG	0.40262905152494083	0.59186704992216	partial
b3738	atpB	0.40262905152494083	0.59186704992216	partial
b3737	atpE	0.40262905152494083	0.59186704992216	partial
b2926	pgk	0.8619736783477151	0.12624322834859344	partial
b1779	gapA	0.8619736783477263	0.1262432283485821	partial
b2280	nuoJ	0.8770682414038717	0.11094232413685759	partial
b2281	nuoI	0.8770682414052366	0.11094232413547402	partial
b2288	nuoA	0.8770682414069267	0.11094232413376082	partial
b2282	nuoH	0.8770682414075887	0.11094232413308985	partial
b2283	nuoG	0.877068241407599	0.11094232413307939	partial
b2277	nuoM	0.8770682414076003	0.11094232413307804	partial
b2284	nuoF	0.8770682414076016	0.11094232413307668	partial
b2286	nuoC	0.8770682414076036	0.11094232413307467	partial
b2285	nuoE	0.8770682414076055	0.11094232413307276	partial
b2278	nuoL	0.8770682414076068	0.11094232413307151	partial
b2276	nuoN	0.8770682414076074	0.11094232413307084	partial
b2287	nuoB	0.8770682414076743	0.11094232413300309	partial
b2279	nuoK	0.8770682414103533	0.11094232413028739	partial
b0431	cyoB	0.8970142702816772	0.09072363505467575	partial
b0432	cyoA	0.8970142703120237	0.09072363502391441	partial
b0430	cyoC	0.8970142703120523	0.09072363502388549	partial
b0429	cyoD	0.8970142703120649	0.09072363502387266	partial
b2779	eno	0.9099049731508642	0.07765671757653586	partial
b3919	tpiA	0.9515669415689447	0.035425234249338015	partial
b1761	gdhA	0.9533929441483309	0.033574270398736575	partial
b0116	lpd	0.9577816848263225	0.029125536078023	partial
b0723	sdhA	0.9596064106333639	0.02727586645311556	partial
b0722	sdhD	0.9596064106333644	0.027275866453115107	partial
b0724	sdhB	0.9596064106333665	0.02727586645311297	partial
b0721	sdhC	0.9596064106333749	0.027275866453104418	partial
b4388	serB	0.965626276108497	0.021173710023686565	partial
b2913	serA	0.9656262761085177	0.021173710023665634	partial
b0114	aceE	0.9695947727967202	0.017150964385724728	partial
b0115	aceF	0.9695947727967372	0.01715096438570751	partial
b3236	mdh	0.9701331791757917	0.016605198045717987	partial
b2501	ppk	0.9719955199501461	0.014717399260685608	partial
b2551	glyA	0.9727724812394634	0.013929816988854208	partial
b0529	folD	0.9751606621193422	0.011508989917054973	partial
b2416	ptsI	0.97610158599716	0.01055520370466415	partial
b2415	ptsH	0.9761015859971609	0.01055520370466325	partial
b0452	tesB	0.9768476965529943	0.00979889389273295	nonessential
b0221	fadE	0.9768476965529981	0.009798893892729123	nonessential
b2836	aas	0.9768477297909502	0.0097988602004175	nonessential
b2029	gnd	0.979904570776875	0.006700232506317703	nonessential
b0767	pgl	0.9799045708848765	0.006700232396839837	nonessential
b1852	zwf	0.9799045708848845	0.006700232396831734	nonessential
b4025	pgi	0.9802726814433469	0.006327089804137421	nonessential
b0727	sucB	0.9812124493450537	0.00537447536993458	nonessential
b0726	sucA	0.9812124493450608	0.005374475369927377	nonessential
b3846	fadB	0.9833375736781959	0.0032203008013521016	nonessential
b0728	sucC	0.9833961306692044	0.003160943342178501	nonessential
b0729	sucD	0.9833961306692198	0.0031609433421628578	nonessential
b3956	ppc	0.9835187428024368	0.003036655113443041	nonessential
