gene_id	name	dependency_score	essential	retained
b4039	ubiC	1	essential	0
b0088	murD	1	essential	1
b0090	murG	1	essential	1
b3189	murA	1	essential	1
b2499	purM	1	essential	0
b0750	nadA	1	essential	0
b2687	luxS	1	essential	0
b1662	ribC	1	essential	0
b0415	ribE	1	essential	1
b3629	waaS	1	essential	0
b3360	pabA	1	essential	0
b0180	fabZ	1	essential	1
b1812	pabB	1	essential	0
b0222	gmhA	1	essential	0
b1096	pabC	1	essential	0
b1093	fabG	1	essential	1
b2323	fabB	1	essential	0
b0120	speD	1	essential	1
b0827	moeA	1	essential	0
b2019	hisG	1	essential	1
b4160	psd	1	essential	0
b4214	cysQ	1	essential	1
b0775	bioB	1	essential	1
b0004	thrC	1	essential	1
b0524	lpxH	1	essential	0
b0159	mtn	1	essential	0
b3634	coaD	1	essential	1
b3997	hemE	1	essential	0
b3196	yrbG	1	essential	0
b1094	acpP	1	essential	1
b1270	btuR	1	essential	0
b3804	hemD	1	essential	0
b0158	btuF	1	essential	0
b2585	pssA	1	essential	0
b1709	btuD	1	essential	0
b1711	btuC	1	essential	0
b3857	mobA	1	essential	0
b0522	purK	1	essential	0
b0369	hemB	1	essential	0
b3639	dfp	1	essential	0
b0179	lpxD	1	essential	0
b4006	purH	1	essential	1
b3018	plsC	1	essential	0
b0523	purE	1	essential	0
b0085	murE	1	essential	1
b3958	argC	1	essential	1
b3359	argD	1	essential	0
b3619	hldD	1	essential	0
b0777	bioC	0.999999999823468	essential	0
b3732	atpD	0.591867049922167	partial	1
b3731	atpC	0.591867049922165	partial	0
b3736	atpF	0.591867049922163	partial	0
b3735	atpH	0.591867049922161	partial	0
b3734	atpA	0.59186704992216	partial	1
b3733	atpG	0.59186704992216	partial	1
b3738	atpB	0.59186704992216	partial	1
b3737	atpE	0.59186704992216	partial	1
b2926	pgk	0.126243228348593	partial	0
b1779	gapA	0.126243228348582	partial	0
b2280	nuoJ	0.110942324136858	partial	1
b2281	nuoI	0.110942324135474	partial	1
