gene	b_number	fba_dep_full	fba_dep_ltee_env	string_ppi_degree	niche_mismatch	first_gen
acrD	b2470	0	0	52	0	0
uraA	b2497	0	0	28	0	0
pepB	b2523	0	2.82536360022198e-15	36	0	39500
iscR	b2531	NA	NA	30	NA	31500
yfhR	b2534	NA	NA	NA	NA	35000
yfiH	b2593	NA	NA	4	NA	40000
yfjD	b4461	NA	NA	2	NA	31500
gabD	b2661	0	1.46918907211543e-15	58	0	31000
pphB	b2734	NA	NA	2	NA	25000
recB	b2820	NA	NA	52	NA	0
galR	b2837	NA	NA	10	NA	4000
kduD	b2842	NA	NA	30	NA	1000
ygeZ	b2873	NA	NA	38	NA	38500
xdhD	b2881	NA	NA	38	NA	49000
yggB	b2924	NA	NA	8	NA	21000
mutY	b2961	NA	NA	34	NA	500
yghB	b3009	NA	NA	8	NA	33000
yghB	b3009	NA	NA	8	NA	0
ygiZ	b3027	NA	NA	6	NA	0
ygiC	b3038	NA	NA	6	NA	28500
yhaB	b3120	NA	NA	8	NA	56500
dacB	b3182	0	1.18665271209323e-14	46	0	9500
mtgA	b3208	NA	NA	26	NA	53500
gltB	b3212	0	3.39043632026638e-16	134	0	6500
gltB	b3212	0	3.39043632026638e-16	134	0	19000
rplN	b3310	NA	NA	264	NA	500
gspA	b3323	NA	NA	20	NA	17000
gspL	b3333	NA	NA	30	NA	19500
yheO	b3346	NA	NA	6	NA	500
argD	b3359	1	1	30	0	1500
glgP	b3428	0	1.79693124974118e-14	32	0	5000
yhhA	b3448	NA	NA	2	NA	9000
ftsX	b3462	NA	NA	36	NA	11500
ftsY	b3464	NA	NA	104	NA	1000
yhiJ	b3488	NA	NA	4	NA	34500
yhiO	b3494	NA	NA	22	NA	6000
yhiP	b3496	0	1.79693124974118e-14	2	0	10000
malS	b3571	0	0	26	0	19500
yiaT	b3584	NA	NA	8	NA	6000
yibA	b3594	NA	NA	4	NA	0
yibG	b3596	NA	NA	2	NA	30000
pyrE	b3642	1	1	48	0	0
yicG	b3646	NA	NA	NA	NA	5500
yicF	b3647	NA	NA	4	NA	27000
glmU	b3730	1	1	34	0	1000
yieO	b3754	NA	NA	8	NA	500
yifB	b3765	NA	NA	10	NA	27000
ilvG	b4488	NA	NA	NA	NA	0
ppiC	b3775	NA	NA	6	NA	49000
aslB	b3800	NA	NA	10	NA	4500
rhtB	b3824	0	6.21579992048836e-15	4	0	13000
ysgA	b3830	NA	NA	2	NA	43000
yihG	b3862	NA	NA	NA	NA	5500
rhaT	b3907	0	3.39043632026638e-16	12	0	0
pflC	b3952	0	8.13704716863931e-15	16	0	2000
yjaH	b4001	NA	NA	8	NA	0
purD	b4005	1	1	48	0	47000
iclR	b4018	NA	NA	20	NA	6500
metH	b4019	0	0	70	0	5500
metH	b4019	0	0	70	0	37500
metH	b4019	0	0	70	0	4000
lamB	b4036	0	0	66	0	8000
nrfE	b4074	NA	NA	26	NA	0
frdA	b4154	0	0	96	0	5500
cycA	b4208	0.00113650976879225	0.000647889370303647	4	0	6500
yjgA	b4234	NA	NA	66	NA	0
yjgN	b4257	NA	NA	10	NA	32000
yjgN	b4257	NA	NA	10	NA	45500
yjgB	b4269	NA	NA	22	NA	1500
yjhB	b4279	NA	NA	10	NA	53000
fimA	b4314	NA	NA	68	NA	1000
hsdS	b4348	NA	NA	20	NA	17500
hsdS	b4348	NA	NA	20	NA	20500
hsdS	b4348	NA	NA	20	NA	4500
hsdS	b4348	NA	NA	20	NA	20000
hsdS	b4348	NA	NA	20	NA	21000
hsdS	b4348	NA	NA	20	NA	17500
mdoB	b4359	NA	NA	8	NA	0
